index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry,group_id
0,-11.883,-54.6162,,3.9,1.8,2015-07-11,1759,Aqua,MODIS,94,6.2,,3314.0,2.0,D,428.3,308.4,2015,7,11,17,59,2015-07-11 17:59:00,Jul,POINT (-54.6162 -11.883),071
0,-13.4324,-53.7385,,2.8,1.6,2015-10-24,1326,Terra,MODIS,100,6.2,,3317.8,0.0,D,453.3,304.2,2015,10,24,13,26,2015-10-24 13:26:00,Oct,POINT (-53.7385 -13.4324),072
0,-10.3562,-44.4776,,2.7,1.6,2015-10-17,1609,Aqua,MODIS,100,6.2,,3328.9,0.0,D,456.8,340.6,2015,10,17,16,9,2015-10-17 16:09:00,Oct,POINT (-44.4776 -10.3562),073
0,-10.1124,-43.6956,,1.8,1.3,2015-09-06,1615,Aqua,MODIS,100,6.2,,3330.6,0.0,D,492.9,339.3,2015,9,6,16,15,2015-09-06 16:15:00,Sep,POINT (-43.6956 -10.1124),074
0,-10.1103,-43.6795,,1.8,1.3,2015-09-06,1615,Aqua,MODIS,100,6.2,,3461.1,0.0,D,495.7,400.1,2015,9,6,16,15,2015-09-06 16:15:00,Sep,POINT (-43.6795 -10.1103),075
0,-7.3236,-59.7589,,3.1,1.7,2015-08-29,1705,Aqua,MODIS,100,6.2,,3534.1,0.0,D,447.4,301.5,2015,8,29,17,5,2015-08-29 17:05:00,Aug,POINT (-59.7589 -7.3236),076
0,-9.1656,-43.3535,,2.1,1.4,2015-10-17,1609,Aqua,MODIS,100,6.2,,3593.0,0.0,D,481.5,400.1,2015,10,17,16,9,2015-10-17 16:09:00,Oct,POINT (-43.3535 -9.1656),077
0,-10.6331,-44.5489,,1.8,1.3,2015-09-27,1343,Terra,MODIS,100,6.2,,3658.2,0.0,D,500.0,336.8,2015,9,27,13,43,2015-09-27 13:43:00,Sep,POINT (-44.5489 -10.6331),078
0,-6.4209,-60.0121,,2.4,1.5,2015-08-20,1712,Aqua,MODIS,100,6.2,,3691.2,0.0,D,472.0,323.0,2015,8,20,17,12,2015-08-20 17:12:00,Aug,POINT (-60.0121 -6.4209),079
0,-6.4344,-55.2797,,4.1,1.9,2015-09-18,1641,Aqua,MODIS,94,6.2,,3710.4,0.0,D,429.9,304.1,2015,9,18,16,41,2015-09-18 16:41:00,Sep,POINT (-55.2797 -6.4344),080
0,-11.7882,-52.5308,,4.0,1.9,2015-09-11,1633,Aqua,MODIS,100,6.2,,3711.1,0.0,D,432.2,304.4,2015,9,11,16,33,2015-09-11 16:33:00,Sep,POINT (-52.5308 -11.7882),081
0,-13.0476,-44.0385,,4.6,2.0,2015-10-21,1721,Aqua,MODIS,100,6.2,,3753.1,0.0,D,423.9,311.1,2015,10,21,17,21,2015-10-21 17:21:00,Oct,POINT (-44.0385 -13.0476),082
0,-13.5382,-43.2597,,2.5,1.5,2015-11-14,1344,Terra,MODIS,100,6.2,,3789.8,0.0,D,470.6,316.4,2015,11,14,13,44,2015-11-14 13:44:00,Nov,POINT (-43.2597 -13.5382),083
0,-12.4584,-55.0366,,2.1,1.4,2015-11-10,1658,Aqua,MODIS,100,6.2,,3909.3,0.0,D,487.6,322.6,2015,11,10,16,58,2015-11-10 16:58:00,Nov,POINT (-55.0366 -12.4584),084
0,-10.1242,-43.6942,,1.8,1.3,2015-09-06,1615,Aqua,MODIS,100,6.2,,3935.8,0.0,D,504.1,400.1,2015,9,6,16,15,2015-09-06 16:15:00,Sep,POINT (-43.6942 -10.1242),085
0,-10.1174,-44.1128,,3.3,1.7,2015-09-06,58,Terra,MODIS,100,6.2,,3950.2,0.0,N,448.8,319.0,2015,9,6,0,58,2015-09-06 00:58:00,Sep,POINT (-44.1128 -10.1174),086
0,-9.7251,-64.2579,,2.5,1.5,2015-09-10,1729,Aqua,MODIS,100,6.2,,4018.9,0.0,D,472.9,313.0,2015,9,10,17,29,2015-09-10 17:29:00,Sep,POINT (-64.25790000000001 -9.725099999999999),087
0,-12.4578,-55.0437,,2.1,1.4,2015-11-10,1658,Aqua,MODIS,100,6.2,,4076.9,0.0,D,490.3,325.1,2015,11,10,16,58,2015-11-10 16:58:00,Nov,POINT (-55.0437 -12.4578),088
0,-13.5245,-43.258,,2.5,1.5,2015-11-14,1344,Terra,MODIS,100,6.2,,4211.5,0.0,D,477.0,333.6,2015,11,14,13,44,2015-11-14 13:44:00,Nov,POINT (-43.258 -13.5245),089
0,-13.4259,-53.7566,,2.8,1.6,2015-10-24,1326,Terra,MODIS,100,6.2,,4380.1,0.0,D,468.8,305.3,2015,10,24,13,26,2015-10-24 13:26:00,Oct,POINT (-53.7566 -13.4259),090
0,-6.434,-55.2347,,4.1,1.9,2015-09-18,1641,Aqua,MODIS,87,6.2,,4581.8,0.0,D,441.0,305.2,2015,9,18,16,41,2015-09-18 16:41:00,Sep,POINT (-55.2347 -6.434),091
0,-13.048,-44.0304,,4.6,2.0,2015-10-21,1721,Aqua,MODIS,100,6.2,,4746.8,0.0,D,435.4,311.7,2015,10,21,17,21,2015-10-21 17:21:00,Oct,POINT (-44.0304 -13.048),092
0,-14.8009,-57.2391,,4.4,1.9,2015-09-16,1651,Aqua,MODIS,100,6.2,,4879.9,0.0,D,439.0,308.6,2015,9,16,16,51,2015-09-16 16:51:00,Sep,POINT (-57.2391 -14.8009),093
0,-14.8013,-57.2349,,4.4,1.9,2015-09-16,1651,Aqua,MODIS,100,6.2,,4901.7,0.0,D,439.2,308.1,2015,9,16,16,51,2015-09-16 16:51:00,Sep,POINT (-57.2349 -14.8013),094
0,-10.3522,-44.4848,,2.7,1.6,2015-10-17,1609,Aqua,MODIS,100,6.2,,5668.6,0.0,D,488.4,400.1,2015,10,17,16,9,2015-10-17 16:09:00,Oct,POINT (-44.4848 -10.3522),095
0,-6.4296,-55.2427,,4.1,1.9,2015-09-18,1641,Aqua,MODIS,100,6.2,,5991.6,0.0,D,455.4,307.3,2015,9,18,16,41,2015-09-18 16:41:00,Sep,POINT (-55.2427 -6.4296),096
0,-13.5313,-43.2643,,2.5,1.5,2015-11-14,1344,Terra,MODIS,100,6.2,,6029.0,0.0,D,500.0,337.8,2015,11,14,13,44,2015-11-14 13:44:00,Nov,POINT (-43.2643 -13.5313),097
