frp,latitude,longitude,instrument,is_top_point
4.3,-9.22471,-65.43318000000001,VIIRS,False
974.2,-9.24567,-65.37574000000001,VIIRS,False
1385.0,-9.236930000000001,-65.36270999999999,VIIRS,False
12.7,-9.22023,-65.34103,VIIRS,False
137.7,-9.24762,-65.355,VIIRS,False
974.2,-9.238660000000001,-65.37206,VIIRS,False
292.5,-9.24041,-65.38154,VIIRS,False
137.7,-9.241430000000001,-65.35583000000001,VIIRS,False
75.8,-9.23526,-65.3567,VIIRS,False
31.7,-9.23168,-65.33811,VIIRS,False
325.6,-9.237960000000001,-65.37076,VIIRS,False
325.6,-9.23092,-65.36713,VIIRS,False
292.5,-9.2413,-65.38634,VIIRS,False
159.6,-9.240689999999999,-65.38499,VIIRS,False
2.6,-9.218060000000001,-65.44697,VIIRS,False
2.3,-9.25007,-65.37295999999999,VIIRS,False
1.0,-9.242280000000001,-65.35735,VIIRS,False
2.3,-9.24451,-65.36489,VIIRS,False
2.5,-9.23954,-65.37489000000001,VIIRS,False
2.3,-9.25061,-65.36945,VIIRS,False
2.0,-9.246189999999999,-65.37594,VIIRS,False
2.0,-9.210280000000001,-65.43136,VIIRS,False
1.9,-9.241769999999999,-65.38243,VIIRS,False
1.7,-9.235669999999999,-65.37787,VIIRS,False
1.6,-9.23398,-65.36681,VIIRS,False
2.1,-9.23895,-65.35681,VIIRS,False
2.3,-9.24729,-65.36893,VIIRS,False
1.7,-9.23621,-65.37436,VIIRS,False
3.2,-9.240639999999999,-65.36787,VIIRS,False
2.3,-9.24118,-65.36435999999999,VIIRS,False
1.9,-9.24784,-65.36542,VIIRS,False
1.2,-9.22358,-65.43347,VIIRS,False
2.6,-9.214739999999999,-65.44644,VIIRS,False
2.5,-9.21751,-65.45047,VIIRS,False
2.6,-9.21861,-65.44346999999999,VIIRS,False
2.5,-9.214189999999999,-65.44994,VIIRS,False
1.0,-9.2523,-65.38051999999999,VIIRS,False
3.2,-9.24342,-65.37189000000001,VIIRS,False
2.3,-9.24173,-65.36085,VIIRS,False
1.2,-9.22303,-65.43697,VIIRS,False
1.0,-9.25562,-65.38104,VIIRS,False
2.0,-9.24952,-65.37646,VIIRS,False
1.6,-9.23676,-65.37084,VIIRS,False
1.2,-9.23512,-65.38138000000001,VIIRS,False
1.6,-9.23731,-65.36734,VIIRS,False
2.5,-9.23899,-65.3784,VIIRS,False
2.5,-9.24287,-65.37541,VIIRS,False
