latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,year,month,month_name
-8.37226,-54.712230000000005,367.0,0.62,0.72,2012-08-08,1617,N,VIIRS,h,1,347.6,435.2,0.0,,2012,8,Aug
-8.37965,-54.71722,208.0,0.63,0.72,2012-08-08,1617,N,VIIRS,l,1,303.5,435.2,0.0,,2012,8,Aug
-8.37895,-54.71147,367.0,0.62,0.72,2012-08-08,1617,N,VIIRS,l,1,325.1,435.2,0.0,,2012,8,Aug
-8.369,-54.70956999999999,367.0,0.62,0.72,2012-08-08,1617,N,VIIRS,h,1,305.2,372.6,0.0,,2012,8,Aug
-8.36974,-54.71535,367.0,0.62,0.72,2012-08-08,1617,N,VIIRS,h,1,339.8,372.6,0.0,,2012,8,Aug
-8.3631,-54.71649,327.7,0.62,0.72,2012-08-08,1617,N,VIIRS,n,1,295.4,372.6,0.0,,2012,8,Aug
-19.52461,-57.34786999999999,290.8,0.53,0.5,2012-08-08,1754,N,VIIRS,l,1,313.8,309.5,0.0,,2012,8,Aug
-13.04444,-45.28423,367.0,0.35,0.57,2012-08-09,1556,N,VIIRS,h,1,356.1,290.5,0.0,,2012,8,Aug
-13.04482,-45.28751,367.0,0.35,0.57,2012-08-09,1556,N,VIIRS,l,1,380.0,290.5,0.0,,2012,8,Aug
-6.52649,-44.81706,367.0,0.53,0.5,2012-08-09,1558,N,VIIRS,l,1,331.0,416.8,0.0,,2012,8,Aug
-6.52583,-44.812290000000004,367.0,0.53,0.5,2012-08-09,1558,N,VIIRS,h,1,350.1,416.8,0.0,,2012,8,Aug
-6.52117,-44.81278,367.0,0.53,0.5,2012-08-09,1558,N,VIIRS,h,1,351.0,416.8,0.0,,2012,8,Aug
-6.52185,-44.81767,367.0,0.53,0.5,2012-08-09,1558,N,VIIRS,h,1,343.6,416.8,0.0,,2012,8,Aug
-13.529760000000001,-59.44705,355.0,0.42,0.37,2012-08-09,1737,N,VIIRS,n,1,324.9,316.7,0.0,,2012,8,Aug
